job_id,job_title,company_name,location
3688409410,Controller / Data Analyst (m/w/d) (Job-ID 15459),FOM University of Applied Sciences for Economics and Management,"Essen, North Rhine-Westphalia, Germany (On-site)"
3746614693,Senior Data Analyst - PowerBI (m/f/d),KI performance GmbH,"Cologne, North Rhine-Westphalia, Germany (On-site)"
3734149691,Engineer (m/f/d) Data Analysis,Nordex Group,"Hamburg, Hamburg, Germany (On-site)"
3698166029,CONTROLLING DATA ANALYST (M/W/D),GRENKE AG,"Baden-Baden, Baden-Württemberg, Germany (Hybrid)"
3744083025,Senior Data Analyst,Clariness,"Berlin, Berlin, Germany (On-site)"
3738654075,Werkstudent:in Data Analyst (m/w/d),DocCheck,"Cologne, North Rhine-Westphalia, Germany (Hybrid)"
3681056910,Business Data Analyst (m/w/d),Elmos Semiconductor SE,"Dortmund, North Rhine-Westphalia, Germany (Hybrid)"
3744851135,UX Data Analyst - E-Commerce (all genders) - Remote or Hamburg,Speed Kit,Germany (Remote)
3684766845,Sales Data Analyst (m/w/d),Borne Türelemente,Germany (On-site)
3745129013,"Business Intelligence Analyst (m/f/d) Munich, Berlin or Hamburg",1KOMMA5°,Germany (Remote)
3724363695,"Business Intelligence Analyst (m/f/d) Munich, Berlin or Hamburg",1KOMMA5°,"Hamburg, Hamburg, Germany (On-site)"
3669982609,Data Analyst (m/w/d),Shift GmbH,"Frankfurt am Main, Hesse, Germany (On-site)"
3744690854,Senior Business Intelligence Analyst (all genders),Parkdepot,"Munich, Bavaria, Germany (On-site)"
3739348253,Sustainability Data Analyst (f/m/x),Cozero,Germany (Remote)
3672764641,Werkstudent (M/W/D) im Bereich Data Engineering und Data Analysis,VISPIRON SYSTEMS GmbH,"Munich, Bavaria, Germany (On-site)"
3622097627,Data Analyst (m/w/d) Online / Digital Marketing,EPG Ehrhardt Partner Group,"Boppard, Rhineland-Palatinate, Germany (Hybrid)"
3641771902,Senior Data Analyst (m/f/d),Pitch,"Berlin, Germany (Remote)"
3740295067,Data Analyst (w/m/d) im Bereich Vertrieb,Delica Deutschland GmbH,"Düsseldorf, North Rhine-Westphalia, Germany (Hybrid)"
3746715737,Data Analyst,Peroptyx,"Munich, Bavaria, Germany (Remote)"
3622512223,IT-Consultant Data Modeler & Analyst (m/w/d),MID GmbH,"Nuremberg, Bavaria, Germany (On-site)"
3736173737,Transport Management - Data Analyst (m/f/d),InstaFreight,"Berlin, Berlin, Germany (Hybrid)"
3738140131,Senior Data Analyst (BI & Data Science) (m/w/d),DEVnet,"Frankfurt am Main, Hesse, Germany (Hybrid)"
